99 50
-8.3363810e-01 4.6946651e-01 0.0000000e+00
-8.9549393e-01 5.0429845e-01 0.0000000e+00
-9.5734976e-01 5.3913038e-01 0.0000000e+00
-1.0280610e+00 5.7894893e-01 0.0000000e+00
-1.1017240e+00 6.2042968e-01 0.0000000e+00
-1.1799629e+00 6.6448717e-01 0.0000000e+00
-1.2688789e+00 7.1455708e-01 0.0000000e+00
-1.3577949e+00 7.6462699e-01 0.0000000e+00
-1.4617499e+00 8.2316559e-01 0.0000000e+00
-1.5683589e+00 8.8319867e-01 0.0000000e+00
-1.6836660e+00 9.4812986e-01 0.0000000e+00
-1.8120206e+00 1.0204082e+00 0.0000000e+00
-1.9403752e+00 1.0926866e+00 0.0000000e+00
-2.0934193e+00 1.1788680e+00 0.0000000e+00
-2.2477629e+00 1.2657811e+00 0.0000000e+00
-2.4176700e+00 1.3614584e+00 0.0000000e+00
-2.6031407e+00 1.4658997e+00 0.0000000e+00
-2.7904888e+00 1.5713982e+00 0.0000000e+00
-3.0135071e+00 1.6969831e+00 0.0000000e+00
-3.2365255e+00 1.8225681e+00 0.0000000e+00
-3.4865035e+00 1.9633344e+00 0.0000000e+00
-3.7544546e+00 2.1142216e+00 0.0000000e+00
-4.0304838e+00 2.2696577e+00 0.0000000e+00
-4.3522884e+00 2.4508707e+00 0.0000000e+00
-4.6740931e+00 2.6320837e+00 0.0000000e+00
-5.0411883e+00 2.8388004e+00 0.0000000e+00
-5.4276937e+00 3.0564474e+00 0.0000000e+00
-5.8335925e+00 3.2850150e+00 0.0000000e+00
-6.2976710e+00 3.5463445e+00 0.0000000e+00
-6.7617496e+00 3.8076740e+00 0.0000000e+00
-7.3002677e+00 4.1109216e+00 0.0000000e+00
-7.8573958e+00 4.4246486e+00 0.0000000e+00
-8.4536448e+00 4.7604053e+00 0.0000000e+00
-9.1225470e+00 5.1370741e+00 0.0000000e+00
-9.7914492e+00 5.5137428e+00 0.0000000e+00
